# x y z r clumpId
1.364702 0.999042 0.067758 0.009744 57
1.361577 1.000426 0.066744 0.008180 57
1.542600 0.997036 0.122848 0.013103 58
1.539381 1.001983 0.118570 0.013224 58
1.541089 0.997393 0.118940 0.012101 58
1.719614 0.996175 0.163772 0.007784 59
1.722166 1.000089 0.158185 0.008366 59
0.098836 1.184219 0.246131 0.009472 60
0.103640 1.177762 0.248949 0.008570 60
0.277828 1.177986 0.237719 0.011552 61
0.279896 1.176486 0.237235 0.010041 61
0.464329 1.183696 0.165191 0.010007 62
0.458830 1.183560 0.159491 0.010194 62
0.459730 1.184134 0.159196 0.011777 62
0.639953 1.175370 0.208502 0.011534 63
0.643697 1.183742 0.207882 0.011373 63
0.823709 1.184700 0.137134 0.012487 64
0.817650 1.181233 0.140360 0.010655 64
0.818286 1.181744 0.141722 0.012937 64
1.003724 1.175359 0.171044 0.013164 65
1.004209 1.184974 0.177827 0.012603 65
0.995984 1.181337 0.179086 0.012631 65
1.178244 1.175561 0.187385 0.012693 66
1.177442 1.179121 0.190618 0.011975 66
1.361197 1.177408 0.089142 0.010164 67
1.359611 1.177540 0.082567 0.009836 67
1.363046 1.184012 0.086790 0.010201 67
1.541389 1.179243 0.135847 0.010097 68
1.536992 1.178847 0.138178 0.008829 68
1.540719 1.180748 0.143273 0.008950 68
1.715081 1.183651 0.248372 0.012541 69
1.724106 1.182452 0.248917 0.012363 69
1.722757 1.177301 0.248608 0.010638 69
0.101282 1.364034 0.089490 0.008406 70
0.099408 1.360796 0.090350 0.007979 70
0.277008 1.362865 0.112787 0.011554 71
0.280018 1.357725 0.105668 0.013005 71
0.462466 1.358387 0.234989 0.014662 72
0.456408 1.364665 0.242439 0.013957 72
0.464799 1.364673 0.241883 0.012898 72
0.639548 1.361728 0.209860 0.007425 73
0.643224 1.364403 0.204220 0.006857 73
0.824153 1.357214 0.050637 0.013690 74
0.824094 1.358022 0.054088 0.011748 74
0.824463 1.358044 0.054931 0.011628 74
0.998710 1.364494 0.229417 0.008127 75
1.000873 1.362266 0.231306 0.008332 75
1.003337 1.361157 0.231842 0.007660 75
1.184506 1.363555 0.184050 0.008922 76
1.180445 1.364778 0.186643 0.008375 76
1.176898 1.356222 0.191536 0.008483 76
1.355506 1.358335 0.187442 0.011960 77
1.357052 1.363298 0.183096 0.011459 77
1.542886 1.360960 0.210383 0.009600 78
1.544875 1.360402 0.215596 0.007917 78
1.722900 1.357379 0.221527 0.007449 79
1.715524 1.362417 0.223550 0.008469 79
1.719762 1.362780 0.223422 0.007333 79
0.102272 1.544088 0.152357 0.012576 80
0.101433 1.535312 0.155754 0.014171 80
